Day,Hour,Open,High,Low,Close
8/2/2022,0:00,43871.00,43968.00,43580.00,43885.00
8/2/2022,1:00,43885.00,44108.00,43838.00,44079.00
8/2/2022,2:00,44079.00,44134.00,43922.00,43993.00
8/2/2022,3:00,43997.00,44230.00,43874.00,44221.00
8/2/2022,4:00,44221.00,44409.00,44106.00,44408.00
8/2/2022,5:00,44408.00,45055.00,44272.00,44915.00
8/2/2022,6:00,44915.00,45541.00,44578.00,44833.00
8/2/2022,7:00,44833.00,44963.00,44645.00,44895.00
8/2/2022,8:00,44895.00,44960.00,43834.00,44039.00
8/2/2022,9:00,44040.00,44209.00,43560.00,43890.00
8/2/2022,10:00,43891.00,43972.00,43615.00,43887.00
8/2/2022,11:00,43887.00,44108.00,43741.00,44020.00
8/2/2022,12:00,44020.00,44020.00,43171.00,43493.00
8/2/2022,13:00,43493.00,43674.00,43239.00,43662.00
8/2/2022,14:00,43662.00,43898.00,43564.00,43618.00
8/2/2022,15:00,43618.00,43619.00,42900.00,43468.00
8/2/2022,16:00,43468.00,43747.00,42950.00,43057.00
8/2/2022,17:00,43058.00,43231.00,42681.00,42989.00
8/2/2022,18:00,42989.00,43340.00,42888.00,43014.00
8/2/2022,19:00,43014.00,43161.00,42739.00,43040.00
8/2/2022,20:00,43040.00,44381.00,42982.00,44312.00
8/2/2022,21:00,44312.00,44434.00,43957.00,44235.00
8/2/2022,22:00,44235.00,44315.00,43923.00,44105.00
9/2/2022,-1:00,44105.00,44348.00,44056.00,44081.00
9/2/2022,0:00,44081.00,44376.00,44000.00,44292.00
9/2/2022,1:00,44292.00,44293.00,43850.00,43904.00
9/2/2022,2:00,43904.00,43966.00,43124.00,43379.00
9/2/2022,3:00,43379.00,43530.00,43289.00,43380.00
9/2/2022,4:00,43380.00,43605.00,43354.00,43496.00
9/2/2022,5:00,43496.00,43793.00,43158.00,43628.00
9/2/2022,6:00,43628.00,43863.00,43577.00,43739.00
9/2/2022,7:00,43739.00,43957.00,43455.00,43846.00
9/2/2022,8:00,43846.00,43979.00,43747.00,43747.00
